Date,Not indexed,Indexed,Impressions
2025-08-08,,,0
2025-08-09,59,287,0
2025-08-10,180,324,0
2025-08-11,180,324,0
2025-08-12,180,324,0
2025-08-13,608,471,0
2025-08-14,608,471,0
2025-08-15,608,471,2
2025-08-16,608,471,1
2025-08-17,763,446,1
2025-08-18,763,446,1
2025-08-19,763,446,1
2025-08-20,810,428,0
2025-08-21,810,428,0
2025-08-22,810,428,0
2025-08-23,810,428,0
2025-08-24,842,398,0
2025-08-25,842,398,2
2025-08-26,842,398,0
2025-08-27,890,356,2
2025-08-28,890,356,0
2025-08-29,890,356,0
2025-08-30,890,356,0
2025-08-31,895,351,0
2025-09-01,895,351,0
2025-09-02,895,351,0
2025-09-03,916,330,0
2025-09-04,916,330,0
2025-09-05,916,330,0
2025-09-06,916,330,0
2025-09-07,929,317,2
2025-09-08,929,317,3
2025-09-09,929,317,0
2025-09-10,985,287,0
2025-09-11,985,287,0
2025-09-12,985,287,0
2025-09-13,985,287,0
2025-09-14,1008,270,1
2025-09-15,1008,270,0
2025-09-16,1008,270,0
2025-09-17,1031,253,0
2025-09-18,1031,253,0
2025-09-19,1031,253,0
2025-09-20,1031,253,1
2025-09-21,1069,217,0
2025-09-22,1069,217,1
2025-09-23,1069,217,0
2025-09-24,1096,220,0
2025-09-25,1096,220,0
2025-09-26,1096,220,0
2025-09-27,1096,220,0
2025-09-28,1101,223,0
2025-09-29,1101,223,0
2025-09-30,1101,223,1
2025-10-01,1117,240,0
2025-10-02,1117,240,0
2025-10-03,1117,240,1
2025-10-04,1117,240,0
